City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
643,Iskateley,RU,67.6803,53.1512,64.54,92,100,6.91,overcast clouds
644,Byron Bay,AU,-28.65,153.6167,70.95,50,0,13.31,clear sky
645,Bonavista,CA,48.6499,-53.1147,56.05,86,96,9.57,overcast clouds
646,Taclobo,PH,12.3074,122.586,84.07,72,100,7.74,overcast clouds
647,Gijon,ES,43.5357,-5.6615,72.45,96,99,2.15,overcast clouds
648,Sibu,MY,2.3,111.8167,84.51,62,40,5.01,scattered clouds
649,Beni Mazar,EG,28.4962,30.8029,73.96,67,0,9.75,clear sky
650,Umm Lajj,SA,25.0213,37.2685,82.62,69,1,5.99,clear sky
651,Gold Coast,AU,-28.0,153.4333,72.25,65,40,12.66,scattered clouds
652,Saulkrasti,LV,57.2622,24.4147,52.79,81,88,12.77,overcast clouds
653,Kaihua,CN,23.3687,104.28,81.28,65,100,5.48,overcast clouds
654,Lukovit,BG,43.2,24.1667,65.66,45,1,4.81,clear sky
655,Sibolga,ID,1.7427,98.7792,86.09,60,68,3.15,broken clouds
656,Muisne,EC,0.6,-80.0333,73.53,87,100,7.58,overcast clouds
657,Tadine,NC,-21.55,167.8833,71.55,61,63,19.08,broken clouds
658,Svetlyy,RU,54.675,20.1347,59.97,79,94,10.18,overcast clouds
659,Lingao,CN,19.9103,109.6859,89.17,68,80,1.97,broken clouds
660,Beringovskiy,RU,63.05,179.3167,61.3,70,100,6.38,light rain
661,Kanniyakumari,IN,8.0833,77.5667,82.96,70,97,20.13,overcast clouds
662,Mahe,IN,11.7,75.5333,80.46,79,100,6.42,overcast clouds
663,Tiznit,MA,29.5833,-9.5,76.03,50,4,1.16,clear sky
664,Kismayo,SO,-0.3582,42.5454,75.67,79,28,15.75,scattered clouds
665,Madang,PG,-5.2246,145.7966,83.79,74,99,4.76,overcast clouds
666,Keetmanshoop,NA,-26.5833,18.1333,53.96,34,0,13.2,clear sky
667,Nyagan,RU,62.1406,65.3936,69.1,44,24,5.41,few clouds
668,Grindavik,IS,63.8424,-22.4338,48.67,100,75,0.0,broken clouds
669,Kamaishi,JP,39.2667,141.8833,75.87,88,100,8.63,overcast clouds
670,Awjilah,LY,29.1081,21.2869,74.07,60,0,7.94,clear sky
671,Matay,EG,28.419,30.7792,74.17,66,0,9.75,clear sky
672,Buraydah,SA,26.326,43.975,84.65,11,100,6.35,overcast clouds
673,Sokoto,NG,13.0609,5.239,75.87,82,97,7.45,overcast clouds
674,Kuching,MY,1.55,110.3333,80.82,83,20,3.44,few clouds
675,Quang Ngai,VN,15.1167,108.8,93.56,54,86,4.47,overcast clouds
676,Farah,AF,32.5,62.5,92.48,7,0,1.7,clear sky
